question,answer
xin chao,Xin chao! Toi la AI chatbot duoc tao tu GitHub.
ban ten la gi,Toi la bot thong minh chay tren web.
shop co ship khong,Shop co ship COD toan quoc nha ban.
tam biet,Hen gap lai ban vao lan sau!
xin chao,Xin chào! Tôi là AI chatbot thông minh của bạn.
hi bot,Xin chào! Tôi là AI chatbot thông minh của bạn.
hello ban,Xin chào! Tôi là AI chatbot thông minh của bạn.
ban la ai,Tôi là một mô hình trí tuệ nhân tạo được huấn luyện trên GitHub.
ai day,Tôi là một mô hình trí tuệ nhân tạo được huấn luyện trên GitHub.
shop o dau,Địa chỉ của shop ở số 123 đường ABC TP.HCM nha bạn.
cua hang o dau vay,Địa chỉ của shop ở số 123 đường ABC TP.HCM nha bạn.
